index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
866,3XL,Surmaya,Kurta Set,0.4,880,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
867,S,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
868,M,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
869,L,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
870,XL,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
871,2XL,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
872,3XL,Mix,Kurta,0.3,425,1995,1995,1995,1695,1695,1995,1995,1995,1995,1995
873,S,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
874,M,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
875,L,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
876,XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
877,2XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
878,3XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
879,S,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
880,M,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
881,L,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
882,XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
883,2XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
884,3XL,Mix,Kurta,0.3,410,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
885,S,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
886,M,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
887,L,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
888,XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
889,2XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
890,3XL,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
891,S,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
892,M,Mix,Kurta,0.3,395,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
