index,Stock,Category,Size,Color
5299,2.0,TOP,M,Beige
5300,3.0,TOP,S,Beige
5301,5.0,TOP,XL,Beige
5302,0.0,TOP,XS,Beige
5303,17.0,TOP,XXL,Beige
5304,3.0,TOP,L,Mustard
5305,4.0,TOP,M,Mustard
5306,6.0,TOP,S,Mustard
5307,7.0,TOP,XL,Mustard
5308,5.0,TOP,XS,Mustard
5309,4.0,TOP,XXL,Mustard
5310,2.0,TOP,L,Maroon
5311,7.0,TOP,M,Maroon
5312,6.0,TOP,S,Maroon
5313,2.0,TOP,XL,Maroon
5314,13.0,TOP,XS,Maroon
5315,2.0,TOP,XXL,Maroon
5316,1.0,TUNIC,L,Blue
5317,2.0,TUNIC,M,Blue
5318,3.0,TUNIC,S,Blue
5319,3.0,TUNIC,XL,Blue
5320,2.0,TUNIC,XS,Blue
5321,3.0,TUNIC,XXL,Blue
5322,3.0,TUNIC,XXXL,Blue
5323,3.0,TUNIC,L,White
5324,2.0,TUNIC,M,White
5325,3.0,TUNIC,S,White
5326,4.0,TUNIC,XL,White
5327,5.0,TUNIC,XS,White
5328,2.0,TUNIC,XXL,White
5329,2.0,TUNIC,XXXL,White
5330,3.0,TUNIC,L,Pink
5331,7.0,TUNIC,M,Pink
5332,8.0,TUNIC,S,Pink
5333,14.0,TUNIC,XL,Pink
5334,4.0,TUNIC,XS,Pink
5335,3.0,TUNIC,XXL,Pink
5336,6.0,TUNIC,XXXL,Pink
5337,2.0,TOP,L,Red
5338,1.0,TOP,M,Red
5339,3.0,TOP,S,Red
5340,0.0,TOP,XL,Red
5341,10.0,TOP,XS,Red
5342,3.0,TOP,XXL,Red
5343,3.0,TOP,XXXL,Red
5344,1.0,TOP,L,Mustard
5345,6.0,TOP,M,Mustard
5346,3.0,TOP,S,Mustard
5347,3.0,TOP,XL,Mustard
5348,11.0,TOP,XS,Mustard
5349,2.0,TOP,XXL,Mustard
5350,2.0,TOP,XXXL,Mustard
5351,29.0,TOP,L,Black
5352,130.0,TOP,M,Black
5353,12.0,TOP,S,Black
5354,63.0,TOP,XL,Black
5355,9.0,TOP,XS,Black
5356,38.0,TOP,XXL,Black
5357,32.0,TOP,XXXL,Black
5358,37.0,TUNIC,L,Pink
5359,16.0,TUNIC,M,Pink
5360,30.0,TUNIC,S,Pink
5361,23.0,TUNIC,XL,Pink
5362,20.0,TUNIC,XS,Pink
5363,17.0,TUNIC,XXL,Pink
5364,35.0,TUNIC,XXXL,Pink
5365,79.0,TUNIC,L,Red
5366,4.0,TUNIC,M,Red
5367,42.0,TUNIC,S,Red
5368,43.0,TUNIC,XL,Red
5369,10.0,TUNIC,XS,Red
5370,4.0,TUNIC,XXL,Red
5371,1.0,TUNIC,XXXL,Red
5372,3.0,TUNIC,L,Blue
5373,2.0,TUNIC,M,Blue
5374,7.0,TUNIC,S,Blue
5375,4.0,TUNIC,XL,Blue
5376,7.0,TUNIC,XS,Blue
5377,3.0,TUNIC,XXL,Blue
5378,3.0,TUNIC,XXXL,Blue
5379,3.0,TUNIC,L,Blue
5380,1.0,TUNIC,M,Blue
5381,2.0,TUNIC,S,Blue
5382,2.0,TUNIC,XL,Blue
5383,2.0,TUNIC,XS,Blue
5384,2.0,TUNIC,XXL,Blue
5385,2.0,TUNIC,XXXL,Blue
5386,157.0,TUNIC,L,Grey
5387,106.0,TUNIC,M,Grey
5388,73.0,TUNIC,S,Grey
5389,145.0,TUNIC,XL,Grey
5390,51.0,TUNIC,XS,Grey
5391,78.0,TUNIC,XXL,Grey
5392,9.0,TUNIC,XXXL,Grey
5393,0.0,TUNIC,L,Pink
5394,2.0,TUNIC,M,Pink
5395,1.0,TUNIC,S,Pink
5396,1.0,TUNIC,XL,Pink
5397,7.0,TUNIC,XS,Pink
5398,2.0,TUNIC,XXL,Pink
5399,3.0,TUNIC,XXXL,Pink
5400,2.0,TUNIC,L,Red
5401,3.0,TUNIC,M,Red
5402,5.0,TUNIC,S,Red
5403,2.0,TUNIC,XL,Red
5404,9.0,TUNIC,XS,Red
5405,0.0,TUNIC,XXL,Red
5406,1.0,TUNIC,XXXL,Red
5407,3.0,TUNIC,L,White
5408,2.0,TUNIC,M,White
5409,3.0,TUNIC,S,White
5410,2.0,TUNIC,XL,White
5411,1.0,TUNIC,XS,White
5412,5.0,TUNIC,XXL,White
5413,2.0,TUNIC,XXXL,White
5414,37.0,TUNIC,L,Black
5415,41.0,TUNIC,M,Black
5416,35.0,TUNIC,S,Black
5417,9.0,TUNIC,XL,Black
5418,19.0,TUNIC,XS,Black
5419,11.0,TUNIC,XXL,Black
5420,22.0,TUNIC,XXXL,Black
5421,38.0,TUNIC,L,Green
5422,49.0,TUNIC,M,Green
5423,57.0,TUNIC,S,Green
